smiles id prediction adm pass/fail
Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1 DAR-DIA-842b4336-21 3 2 pass
O=C(Cc1cc2cccnc2[nH]1)Nc1ncc(Cl)o1 DAR-DIA-842b4336-22 3 2 pass
Cn1cc(NC(=O)Cc2cc3cccnc3[nH]2)cn1 DAR-DIA-842b4336-23 3 2 pass
O=C(Cc1cc2cccnc2[nH]1)Nc1ccsc1 DAR-DIA-842b4336-24 3 2 pass
O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1 DAR-DIA-03336633-1 3 2 pass
O=C(Cc1cnccc1CCNC(=O)NC1CCCCC1)Nc1ccccc1 DAR-DIA-03336633-2 3 2 pass
O=C(Nc1cccc(Cl)c1)Nc1cnccc1CCNC(=O)NC1CCCCC1 DAR-DIA-03336633-3 3 2 pass
N#Cc1cccc(NC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)c1 DAR-DIA-03336633-4 2 2 fail
O=C(CC1CCCCC1)Nc1cnccc1CCNC(=O)NC1CCCCC1 DAR-DIA-03336633-5 2 2 fail
CN1CCN(CC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)CC1 DAR-DIA-03336633-6 3 2 pass
O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1 DAR-DIA-03336633-7 2 2 fail
CN1CCN(C(=O)NCCc2ccncc2NC(=O)Cc2ccccc2)CC1 DAR-DIA-03336633-8 3 2 pass
O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1 DAR-DIA-03336633-9 2 2 fail
O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCOCC1 DAR-DIA-03336633-10 3 2 pass
O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1 DAR-DIA-03336633-11 3 2 pass
CN1CCN(C(=O)Cc2c[nH]c3nccc(NC(=O)NC4CCCCC4)c23)CC1 DAR-DIA-03336633-12 3 2 pass
O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)NC3CCCCC3)c12 DAR-DIA-03336633-13 3 2 pass
O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)C3CCCCC3)c12 DAR-DIA-03336633-14 2 2 fail
NCCc1ccncc1CC(=O)Nc1ccccc1 DAR-DIA-03336633-15 2 2 fail
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1 DAR-DIA-23aa0b97-1 3 2 pass
N#Cc1cncc(NC(=O)Cc2c[nH]c3ncccc23)c1 DAR-DIA-23aa0b97-2 4 2 pass
N#Cc1cccc(NC(=O)Cc2cncc(N)c2)c1 DAR-DIA-23aa0b97-3 3 2 pass
N#Cc1cccc(NC(=O)Cc2cccnc2)c1 DAR-DIA-23aa0b97-4 3 2 pass
N#Cc1cccc(NC(=O)Nc2cccnc2)c1 DAR-DIA-23aa0b97-5 3 2 pass
N#Cc1cncc(NC(=O)Cc2cccnc2)c1 DAR-DIA-23aa0b97-6 3 2 pass
N#Cc1cncc(NC(=O)Cc2cncc(N)c2)c1 DAR-DIA-23aa0b97-7 3 2 pass
N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1 DAR-DIA-23aa0b97-8 3 2 pass
N#Cc1cncc(NC(=O)Nc2cncc(N)c2)c1 DAR-DIA-23aa0b97-9 3 2 pass
N#Cc1cncc(NC(=O)Nc2c[nH]c3ncccc23)c1 DAR-DIA-23aa0b97-10 3 2 pass
N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1 DAR-DIA-23aa0b97-11 3 2 pass
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1 DAR-DIA-23aa0b97-12 3 2 pass
Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1 DAR-DIA-23aa0b97-13 3 2 pass
O=C(Nc1cccnc1)Nc1cccc(Cl)c1 DAR-DIA-23aa0b97-14 3 2 pass
O=C(Nc1cccnc1)Nc1cncc(Cl)c1 DAR-DIA-23aa0b97-15 3 2 pass
O=C(Cc1cncc(Cl)c1)Nc1cccnc1 DAR-DIA-23aa0b97-16 3 2 pass
N#Cc1cncc(CC(=O)Nc2cccnc2)c1 DAR-DIA-23aa0b97-17 3 2 pass
N#Cc1cccc(NC(=O)Cc2cncc3ncccc23)c1 DAR-DIA-23aa0b97-18 3 2 pass
